,12-2021,12-2020,12-2019,12-2018,12-2017,12-2016,12-2015,12-2014,12-2013,12-2012,12-2011,12-2010,12-2009,12-2008,12-2007,12-2006,12-2005,12-2004,12-2003,12-2002,12-2001,12-2000,12-1999,12-1998,12-1997,12-1996,12-1995,12-1994,12-1993,12-1992,12-1991,12-1990,12-1989,12-1988,12-1987,12-1986,12-1985,12-1984,12-1983,12-1982,12-1981,12-1980,12-1979,12-1978

Sales,"23,222,900","19,207,800","21,364,400","21,257,900","22,820,400","24,621,900","25,413,000","27,441,300","28,105,700","27,567,000","27,006,000","24,074,600","22,744,700","23,522,400","22,786,600","20,895,200","19,117,300","18,594,000","17,140,500","15,405,700","14,870,000","14,243,000","13,259,300","12,421,400","11,408,800","10,686,500","9,794,500","8,320,800","7,470,100","7,133,300","6,695,000","6,639,600","6,065,600","5,520,800","4,893,538","4,143,508","3,760,860","3,414,798","3,062,922","2,769,539","2,515,836","2,215,463","1,937,935","1,643,549"
"Cost of Goods","10,642,700","9,455,700","10,185,000","10,425,300","12,199,600","14,417,200","15,623,800","16,985,600","17,203,000","16,750,700","16,319,400","14,437,300","13,952,900","14,883,200","14,881,400","13,963,200","12,940,000","12,690,600","11,943,700","10,746,700","10,253,900","9,522,400","8,567,300","7,939,600","6,649,600","6,733,300","6,062,600","5,080,500","4,545,000","4,475,100","4,335,600","4,414,800","1,800,900","1,659,200","3,013,371","1,807,916","1,012,111","949,422","845,620","776,929","720,293","660,869","602,647","518,686"
"Gross Profit","12,580,200","9,752,101","11,179,400","10,832,600","10,620,800","10,204,700","9,789,200","10,455,700","10,902,700","10,816,300","10,686,600","9,637,300","8,791,800","8,639,200","7,905,199","6,931,999","6,177,301","5,903,399","5,196,800","4,659,000","4,616,100","4,720,600","4,692,000","4,481,800","4,759,200","3,953,200","3,731,900","3,240,300","2,925,100","2,658,200","2,359,400","2,224,800","2,483,000","3,189,061","1,880,167","2,335,592","2,748,749","2,465,376","2,217,302","1,992,610","1,795,543","1,554,594","1,335,288","1,124,863"
"Operating Expenses","2,224,900","2,428,800","2,109,600","2,010,300","1,068,700","2,460,400","2,644,500","2,507,100","2,138,400","2,212,400","2,157,300","2,164,500","1,951,700","2,196,500","4,026,600","2,499,200","2,193,300","2,366,100","2,365,300","2,546,800","1,920,000","1,391,300","1,477,900","1,459,100","2,065,000","1,366,700","1,236,900","1,083,500","941,100","860,700","795,300","725,000","2,874,400","2,617,300","718,677","1,412,174","1,825,855","1,636,290","1,481,388","1,353,294","1,222,885","1,062,023","918,835","777,730"
"Operating Income","10,356,000","7,324,000","9,069,800","8,822,600","9,552,700","7,744,500","7,145,500","7,949,200","8,764,300","8,604,600","8,529,700","7,473,100","6,841,000","6,442,900","3,879,000","4,433,000","3,984,000","3,537,899","2,832,200","2,112,900","2,696,999","3,329,700","3,214,400","3,023,301","2,694,800","2,586,800","2,495,600","2,157,300","1,984,000","1,797,600","1,564,700","1,500,600","1,391,200","1,244,500","1,161,861","924,334","923,005","829,508","736,534","640,245","572,951","493,440","417,100","347,819"
"Interest Expense","1,185,800","1,218,100","1,121,900","981,200","921,300","884,800","638,300","576,400","527,800","516,600","492,800","450,900","473,200","522,600","410,100","401,900","356,200","358,400","388,000","374,100","452,400","429,900","396,300","413,800","364,400","342,500","340,200","305,700","316,100","373,600","391,400","381,200","301,900","237,300","203,099","172,867","140,766","122,019","108,494","94,201","91,317","90,847","72,592","63,336"
"Other Income","-42,300","34,800","70,200","-25,300","-57,900","6,300","48,500",-800,"-32,000","-9,000","-24,700","-21,900","119,200","237,700","103,200","123,300","32,400","21,201","-97,800","-76,700","85,101","-17,500","66,000","-302,101","76,900","6,700","13,700","35,000","7,800","24,100","126,100","126,900","67,900","39,300",0,"96,658",0,0,0,0,0,0,0,"28,342"
"Pre-tax Income","9,127,900","6,140,700","8,018,100","7,816,100","8,573,500","6,866,000","6,555,700","7,372,000","8,204,500","8,079,000","8,012,200","7,000,300","6,487,000","6,158,000","3,572,100","4,154,400","3,660,200","3,200,700","2,346,400","1,662,100","2,329,700","2,882,300","2,884,100","2,307,400","2,407,300","2,251,000","2,169,100","1,886,600","1,675,700","1,448,100","1,299,400","1,246,300","1,157,200","1,046,500","958,762","848,125","782,239","707,489","628,040","546,044","481,634","402,593","344,508","312,825"
"Income Tax","1,582,700","1,410,200","1,992,700","1,891,800","3,381,200","2,179,500","2,026,400","2,614,200","2,618,600","2,614,200","2,509,100","2,054,000","1,936,000","1,844,800","1,237,100","1,288,300","1,082,600","923,200","838,200","670,000","693,100","905,000","936,200","757,300","764,800","678,400","741,800","662,200","593,200","489,500","439,800","444,000","430,500","400,600","409,700","368,400","349,200","318,400","285,400","245,400","216,800","181,700","155,900","150,156"
